"","logW","E.logW","gap","SE.sim","W","K","Simulation"
"84",11.5373344739062,12.2924635376206,0.755129063714319,0.0107131983970828,"2.525",6,3
"85",11.7323923897708,12.3934537316559,0.661061341885024,0.0105948371583861,"3",1,3
"86",11.6224762568709,12.3660206436593,0.74354438678847,0.0110829487861839,"3",2,3
"87",11.5892737920741,12.345126699335,0.755852907260868,0.0111257488357997,"3",3,3
"88",11.567680832215,12.3254690868154,0.757788254600415,0.0111952122654388,"3",4,3
"89",11.5508432515871,12.3065575063705,0.755714254783342,0.011324570544871,"3",5,3
"90",11.5350959257516,12.2884432416383,0.753347315886735,0.0121559060092382,"3",6,3
"91",11.7135844893398,12.3572844169694,0.643699927629681,0.00929937017523927,"1.1",1,4
"92",11.6212556053224,12.3307311460953,0.709475540772983,0.0100181507485795,"1.1",2,4
"93",11.604573162266,12.3165946725447,0.712021510278655,0.0101195401139895,"1.1",3,4
"94",11.5899848080714,12.3021583358806,0.712173527809227,0.0101166462537284,"1.1",4,4
"95",11.5785527754534,12.2854145681681,0.706861792714687,0.0104260511018728,"1.1",5,4
"96",11.5655133533856,12.2692236776524,0.703710324266831,0.0109280451661513,"1.1",6,4
"97",11.7135844893398,12.3547394488568,0.64115495951709,0.0106737128461281,"1.575",1,4
"98",11.6243856101176,12.3278513587472,0.70346574862962,0.010862843659968,"1.575",2,4
"99",11.6040193625258,12.3092843667368,0.705265004210947,0.0110454135738664,"1.575",3,4
"100",11.5893813670144,12.2906773476731,0.701295980658713,0.0111868631090726,"1.575",4,4
"101",11.5647511290414,12.2746333267477,0.709882197706278,0.011626687208677,"1.575",5,4
"102",11.5463967707115,12.2587510268253,0.712354256113858,0.0116038323469035,"1.575",6,4
"103",11.7135844893398,12.3573692355975,0.643784746257774,0.00968910182607539,"2.05",1,4
"104",11.6212556053224,12.3310794649407,0.709823859618313,0.0100885437726697,"2.05",2,4
"105",11.6019597618992,12.3108629405572,0.708903178657982,0.0102743726641276,"2.05",3,4
"106",11.5693184915969,12.2920598680857,0.722741376488825,0.0102171787701836,"2.05",4,4
"107",11.5466795765743,12.2752874907587,0.728607914184423,0.0100931505972665,"2.05",5,4
